parking_node_id,x,y,parking_cost,walk_distance_m,walk_distance_km,walk_time_hr,feasible,hop_from_source,source_node,destination_node
9442789577,7080.33,3174.37,19.73,2003.6576,2.0037,0.4007,0,58,7935712602,2296395497
418988934,7241.87,3196.36,17.53,1964.7101,1.9647,0.3929,0,59,7935712602,2296395497
545312693,7003.87,3086.11,13.73,1956.7004,1.9567,0.3913,0,58,7935712602,2296395497
418988943,7603.68,3273.56,12.99,1952.9394,1.9529,0.3906,0,58,7935712602,2296395497
418988944,7513.63,3230.93,13.04,1926.3549,1.9264,0.3853,0,59,7935712602,2296395497
418988945,7422.82,3187.06,10.21,1903.6016,1.9036,0.3807,0,60,7935712602,2296395497
1588088092,7246.7,3122.94,17.23,1893.9138,1.8939,0.3788,0,60,7935712602,2296395497
411929172,7254.33,3106.06,10.91,1875.4459,1.8754,0.3751,0,60,7935712602,2296395497
418988937,7236.38,3077.92,12.04,1855.2506,1.8553,0.3711,0,59,7935712602,2296395497
416269655,8076.97,3139.87,17.76,1807.7282,1.8077,0.3615,0,60,7935712602,2296395497
298584896,7168.43,2980.97,18.95,1791.1516,1.7912,0.3582,0,60,7935712602,2296395497
416224607,7793.55,3115.12,18.16,1775.9755,1.776,0.3552,0,58,7935712602,2296395497
298584936,7344.78,3012.12,12.49,1757.2018,1.7572,0.3514,0,60,7935712602,2296395497
416256692,7982.94,3094.03,8.53,1754.6793,1.7547,0.3509,0,59,7935712602,2296395497
416264089,7703.08,3071.08,18.06,1739.4112,1.7394,0.3479,0,59,7935712602,2296395497
416288983,7927.64,3067.66,19.39,1726.2706,1.7263,0.3453,0,58,7935712602,2296395497
416286375,7612.64,3027.01,17.46,1707.9651,1.708,0.3416,0,60,7935712602,2296395497
421146128,8162.33,3021.49,11.7,1701.5613,1.7016,0.3403,0,60,7935712602,2296395497
1514895831,7277.74,2910.88,19.08,1684.4753,1.6845,0.3369,0,59,7935712602,2296395497
416287016,7531.87,2987.35,12.54,1684.1756,1.6842,0.3368,0,60,7935712602,2296395497
416186645,7837.86,3024.65,13.92,1683.6815,1.6837,0.3367,0,59,7935712602,2296395497
298585000,7451.4,2947.72,14.93,1664.8652,1.6649,0.333,0,59,7935712602,2296395497
416287733,7746.79,2980.39,8.21,1644.8855,1.6449,0.329,0,59,7935712602,2296395497
416208085,7660.46,2935.56,16.26,1610.2789,1.6103,0.3221,0,59,7935712602,2296395497
9584102242,7101.18,2739.01,12.63,1604.7339,1.6047,0.3209,0,58,7935712602,2296395497
298584984,7199.72,2788.53,9.45,1603.1733,1.6032,0.3206,0,58,7935712602,2296395497
421146126,7991.23,2937.77,15.88,1599.1588,1.5992,0.3198,0,59,7935712602,2296395497
442755846,7536.59,2896.25,11.89,1594.228,1.5942,0.3188,0,59,7935712602,2296395497
cluster_295699948_442755845_8905696885,7382.46,2836.85,17.39,1579.0055,1.579,0.3158,0,58,7935712602,2296395497
1588087948,7779.87,2910.35,18.86,1572.453,1.5725,0.3145,0,58,7935712602,2296395497
2027440548,7237.37,2764.92,8.9,1565.8265,1.5658,0.3132,0,58,7935712602,2296395497
421146123,7901.67,2895.06,20.22,1553.3105,1.5533,0.3107,0,58,7935712602,2296395497
442755847,7611.08,2851.26,9.13,1535.105,1.5351,0.307,0,58,7935712602,2296395497
416304448,7460.87,2779.35,16.85,1500.3725,1.5004,0.3001,0,58,7935712602,2296395497
442755843,7384.87,2668.35,17.45,1419.6382,1.4196,0.2839,0,58,7935712602,2296395497
1592136089,7352.88,2620.35,18.81,1386.9741,1.387,0.2774,0,59,7935712602,2296395497
442760458,8078.75,2686.19,9.31,1357.5228,1.3575,0.2715,0,58,7935712602,2296395497
416250744,8002.87,2573.35,15.91,1236.6804,1.2367,0.2473,0,59,7935712602,2296395497
416196556,7862.87,2519.35,20.4,1177.8829,1.1779,0.2356,0,58,7935712602,2296395497
8905697073,7874.9,2512.39,9.88,1170.7033,1.1707,0.2341,0,59,7935712602,2296395497
2144936033,8070.12,2490.63,15.48,1162.8047,1.1628,0.2326,0,61,7935712602,2296395497
416281449,7929.72,2480.38,9.77,1139.267,1.1393,0.2279,0,60,7935712602,2296395497
cluster_416197277_8905697076,7944.63,2476.78,17.76,1136.2824,1.1363,0.2273,0,59,7935712602,2296395497
9584102240,7584.72,2399.28,11.71,1100.7979,1.1008,0.2202,0,58,7935712602,2296395497
cluster_2144935908_416273779,8037.78,2427.14,15.22,1095.304,1.0953,0.2191,0,60,7935712602,2296395497
9584102224,7818.99,2396.13,14.1,1056.7589,1.0568,0.2114,0,58,7935712602,2296395497
9584102225,7848.37,2379.47,16.62,1038.5329,1.0385,0.2077,0,59,7935712602,2296395497
416303252,7877.53,2362.94,9.68,1021.2317,1.0212,0.2042,0,58,7935712602,2296395497
12751376331,8115.86,2315.5,9.53,999.4603,0.9995,0.1999,1,63,7935712602,2296395497
9584102226,7921.74,2336.11,17.14,994.8122,0.9948,0.199,1,59,7935712602,2296395497
2144935899,7979.89,2329.59,16.88,991.8409,0.9918,0.1984,1,61,7935712602,2296395497
9584102227,7946.3,2321.2,17.61,981.0011,0.981,0.1962,1,60,7935712602,2296395497
335820953,7967.58,2308.29,14.22,969.5727,0.9696,0.1939,1,61,7935712602,2296395497
cluster_15434382_4674699479_4674699484_8893238440_#2more,8061.17,2262.63,12.57,936.5317,0.9365,0.1873,1,62,7935712602,2296395497
9584102228,8111.51,2225.69,18.49,911.1239,0.9111,0.1822,1,63,7935712602,2296395497
12751665809,7900.33,2241.05,12.52,899.3143,0.8993,0.1799,1,58,7935712602,2296395497
335820891,8189.32,2183.68,13.87,893.3656,0.8934,0.1787,1,62,7935712602,2296395497
9584102237,7935.23,2220.29,19.59,879.6406,0.8796,0.1759,1,59,7935712602,2296395497
12751376391,8006.88,2206.91,20.37,872.9196,0.8729,0.1746,1,61,7935712602,2296395497
335820892,7995.85,2186.43,15.85,851.1909,0.8512,0.1702,1,60,7935712602,2296395497
306013442,8137.23,2109.41,10.26,806.3131,0.8063,0.1613,1,61,7935712602,2296395497
12751376389,7958.38,2127.74,11.58,788.8801,0.7889,0.1578,1,61,7935712602,2296395497
442760425,7951.72,2117.37,8.16,777.9964,0.778,0.1556,1,62,7935712602,2296395497
416257424,7511.88,2014.35,13.86,771.7851,0.7718,0.1544,1,59,7935712602,2296395497
12751376390,7941.52,2101.97,17.62,761.8935,0.7619,0.1524,1,61,7935712602,2296395497
1772228771,7666.27,2054.18,11.46,746.8308,0.7468,0.1494,1,58,7935712602,2296395497
416294844,7645.19,2028.81,15.12,729.4854,0.7295,0.1459,1,59,7935712602,2296395497
442760426,8085.47,2036.82,14.46,721.8722,0.7219,0.1444,1,62,7935712602,2296395497
416225216,7591.39,1964.1,20.32,690.4394,0.6904,0.1381,1,58,7935712602,2296395497
442760427,7787.93,1910.9,14.63,578.2703,0.5783,0.1157,1,60,7935712602,2296395497
416211832,7376.73,1553.21,19.88,555.5238,0.5555,0.1111,1,58,7935712602,2296395497
416185950,7734.61,1844.71,16.54,526.5118,0.5265,0.1053,1,59,7935712602,2296395497
