edge_id,from_node,to_node,length_m,speed_mps,drive_time_s,num_lanes
-1024002003#2,1553072912,1553050146,84.96,4.5143,18.8203,2
-1024002004#1,9442789570,283678986,79.09,4.5143,17.52,3
-1024002005#1,283678986,9442789571,61.18,4.5143,13.5526,2
-1024002006,9442789572,283678984,88.24,4.5142,19.5471,3
-1024002007#1,9442789573,293911986,11.61,4.514,2.572,2
-1024002008#1,297024077,9442789574,24.6,4.5142,5.4495,2
-1024002010,9442789575,9442789576,33.02,4.5143,7.3145,3
-1024002011#2,9442789576,298584879,37.64,4.5142,8.3382,3
-1024002012#1,298584879,9442789577,76.63,4.5143,16.9751,2
-1024002013#2,298584936,298585000,110.38,4.5143,24.4514,2
-1024002013#5,418988937,298584936,112.37,4.5142,24.8923,2
-1024728901#1,9448986018,295406696,23.38,3.6108,6.4751,2
-1024728902#2,298510756,9448986019,33.0,3.6107,9.1394,1
-1024728903#2,9448986020,292190560,73.87,3.6107,20.4585,2
-1024728904#1,cluster_2306411109_420326577,1475138181,26.46,3.6108,7.328,1
-1024728905#1,9448986022,9448986021,4.13,4.5146,0.9148,1
-1024728906,1914277251,9448986022,1.97,4.5152,0.4363,2
-1024728907#1,345084778,cluster_290577265_541208444_8105157841,76.28,4.5143,16.8975,3
-1024728908,345084800,9448986023,18.16,4.5143,4.0228,3
-1024728909#1,9448986023,345084778,16.43,4.5141,3.6397,2
-1024728918#1,1489637009,297024081,30.49,3.6107,8.4443,2
-1024728920#2,297024081,9448986030,21.65,3.6107,5.996,2
-1024728921#1,7369497883,412859589,35.78,3.6108,9.9092,1
-1025389571#2,297322814,297322754,92.26,4.5143,20.4375,1
-1025389598#1,296501324,296501314,61.67,4.5142,13.6612,1
-1025389598#3,296501590,296501324,46.21,4.5142,10.2366,1
-1025389598#5,296501518,296501590,2.63,4.515,0.5825,1
-1034689641,2002201332,8189608931,41.86,4.5142,9.2729,2
-1035878761#1,295406696,1509407617,32.7,4.5143,7.2437,1
-1035878874#0,293956353,306201745,28.55,3.6107,7.9071,1
-1035878874#3,295406694,293956353,144.21,3.6107,39.9391,1
-1037428644#2,293911983,9556765873,74.21,4.5142,16.4391,1
-1037428711,9556778321,293302282,78.35,4.5143,17.356,2
-1037428728#1,9584102247,500375337,43.29,4.5143,9.5895,2
-1037428996#1,1677703303,306201754,168.3,3.6108,46.6108,1
-1037429000#1,306201745,287354802,67.58,3.6108,18.7163,1
-1037829043#0,338450585,338450584,37.79,3.6108,10.4658,1
-1037829043#2,12034992496,338450585,170.5,3.6108,47.22,1
-1040978932#1,421138218,298584871,18.72,3.6107,5.1846,1
-1040978934#1,cluster_1592136105_4611993426_6835825384,9584102220,53.25,3.6107,14.7477,1
-1040978935#1,442755843,9584102221,23.9,4.5141,5.2945,1
-1040978935#6,298585001,442755843,77.53,4.5143,17.1745,1
-1040978935#9,2027440548,298585001,72.78,4.5143,16.1222,1
-1040978936,9584102221,442755844,43.47,4.5143,9.6295,2
-1040978937#1,442755844,9584102222,45.5,4.5143,10.0791,1
-1040978938#0,442755851,9584102223,3.05,4.5138,0.6757,1
-1040978938#1,9584102222,442755851,20.47,4.5143,4.5345,1
-1040978939#1,300190245,1507472822,36.91,3.6108,10.2222,1
-1040978941,416217136,9584102224,12.72,3.6108,3.5228,1
-1040978942#1,9584102225,416303252,22.26,3.6108,6.1649,2
-1040978943#1,416303252,9584102226,40.45,3.6107,11.2028,1
-1040978944,9584102226,9584102227,20.73,3.6107,5.7412,1
-1040978945,9584102227,335820953,13.62,3.6108,3.772,2
-1040978946,9584102228,cluster_15434382_4674699479_4674699484_8893238440_#2more,43.78,4.5142,9.6982,3
-1040978961#1,306013442,335820892,142.42,3.6107,39.4434,2
-1040978962#4,335820892,9584102237,53.6,4.5143,11.8735,1
-1040978963#1,12751665809,421138189,69.41,4.5143,15.3757,2
-1040978972#1,6835868989,9584102244,14.09,4.5143,3.1212,1
-1040978973#1,1509407617,9584102245,3.64,4.5133,0.8065,1
-1040978974,9584102246,1703857751,154.7,4.5143,34.2692,1
-1040978975,9556765873,9584102247,12.36,4.5146,2.7378,2
-1040978976,9584102248,9556778321,20.22,4.5143,4.4791,1
-1051419672#3,256993290,13382612922,89.35,7.2214,12.3729,1
-1054111415,298584837,295699952,27.27,4.5142,6.0409,1
-1054111420#1,298584825,421138233,35.35,4.5142,7.8308,1
-1056114120#3,12751376391,cluster_15434382_4674699479_4674699484_8893238440_#2more,49.84,4.5142,11.0406,3
-1056115834#3,412935618,1489841890,315.72,3.6108,87.4388,1
-1056322999#1,309711623,4080014777,66.53,3.6108,18.4255,1
-1058012204#0,338450435,9721605084,18.72,3.6107,5.1846,1
-1058012204#1,338450430,338450435,65.47,3.6107,18.132,1
-1058012204#5,9721605085,338450430,123.94,3.6108,34.3252,1
-106194246#12,306201777,279068742,317.94,4.5143,70.4302,2
-106194246#15,338450577,306201777,137.43,4.5142,30.4437,2
-106194246#16,cluster_292190578_8881861579_8881861591,338450577,76.06,4.5142,16.8489,2
-1065984982#2,292190566,295144863,76.05,3.6107,21.0622,2
-1066272893#3,295406626,9791424086,344.67,3.6108,95.4566,1
-1071281183#1,298584827,298584825,47.38,3.6108,13.1218,1
-1073483403#1,363728132,299045502,117.43,3.6107,32.5225,1
-1073483403#2,443127183,363728132,123.13,3.6108,34.1009,1
-1073483403#4,299045505,443127183,66.21,3.6108,18.3369,1
-1073483447#0,412684299,331969126,73.99,3.6107,20.4917,1
-1073483447#1,443127179,412684299,77.48,3.6107,21.4582,1
-1073483447#2,443127178,443127179,68.11,3.6108,18.8631,1
-1073483447#4,331969127,443127178,67.53,3.6107,18.7025,1
-1075196285#2,253114349,13072530262,87.35,4.5143,19.3498,1
-1075196285#3,256993773,253114349,53.69,4.5142,11.8935,1
-1075196285#4,15434359,256993773,21.6,4.5142,4.7849,1
-1075196285#6,11154333393,15434359,19.69,4.5142,4.3618,1
-1075199410#2,292190555,292190553,177.39,4.5142,39.2957,1
-1075228281,306201589,13329700738,22.48,3.6108,6.2258,1
-1075228283#2,298584894,298584892,60.11,3.6108,16.6474,1
-1075228288#5,418988962,295704980,125.8,3.6108,34.8403,1
-1079306707#3,443127190,338450640,366.9,3.6108,101.6132,1
-1082414388#2,299045532,309711627,72.01,3.6108,19.9431,1
-1082414389#2,380063483,299045532,365.37,3.6108,101.1895,1
-1082414407#1,390608925,309711627,60.66,3.6108,16.7997,1
-1082414407#3,411929139,390608925,55.69,3.6107,15.4234,1
-1082414407#5,1553073708,411929139,71.96,3.6108,19.9292,1
-1082414987#2,380060469,380060486,84.74,3.6107,23.4689,1
-1082414987#6,380060187,380060469,60.63,3.6108,16.7914,1
-1082414993,380063483,380060112,68.31,3.6108,18.9185,1
-1082414994#2,380060486,380063483,86.48,3.6107,23.9508,1
-1082557528#1,411929140,295699964,46.84,3.6108,12.9723,1
-1082558012#1,cluster_420326593_420326614,416280816,52.02,3.6107,14.4071,1
-1082558170#0,442755853,299045545,140.6,3.6107,38.9394,1
-1082558170#1,1349947413,442755853,82.17,3.6108,22.7569,1
-1082558170#2,442755852,1349947413,37.82,3.6108,10.4742,1
-1083384630#2,1514895831,298584936,105.2,3.6108,29.1351,1
-1084117308#1,416299449,9934577770,382.82,3.6108,106.0222,1
-1084372237#1,9936793088,380060486,55.0,3.6107,15.2323,1
-1086321649#5,256993301,256993302,124.09,2.7072,45.8363,1
-1090387669,298025682,cluster_286306354_340086015,222.42,4.5142,49.2708,1
-1090387673,298025699,298025682,76.03,4.5143,16.8422,1
-1093692645#1,416287016,416286375,75.82,3.6107,20.9985,1
-1093692645#3,298585000,416287016,68.63,3.6108,19.0071,1
-1093692829#1,416286375,416208085,90.84,3.6108,25.1582,1
-1093693909#1,416208085,442755847,80.06,3.6108,22.1726,1
-1093694367#1,416286375,416264089,86.16,3.6107,23.8622,1
-1093694368#2,416264089,416224607,86.05,3.6107,23.8317,1
-1097586597,340433834,422347593,114.23,2.7072,42.1942,1
-1097586676#3,309711608,309711609,80.19,3.6108,22.2086,1
-1097586676#7,309711607,309711608,84.98,3.6107,23.5354,1
-1097586676#9,499953663,309711607,77.58,3.6108,21.4858,1
-1097586698#1,408435644,408435646,90.65,3.6108,25.1055,1
-1097586834#1,408435646,408435645,246.76,3.6108,68.3403,1
-1105653636,298513376,10117541313,46.62,4.5142,10.3274,1
-1105653637#1,412935618,12912059504,117.9,4.5143,26.1172,1
-1105653637#3,10117541314,412935618,24.85,4.5142,5.5049,1
-1106182514#4,412684305,412684309,286.08,3.6107,79.2302,1
-1106182694#3,363714030,412684305,175.33,3.6107,48.5578,1
-1106182871#0,1546157809,412684310,255.65,3.6107,70.8025,1
-1106182871#2,363709174,1546157809,47.69,3.6108,13.2077,1
-1106182967,363709428,363709174,74.08,3.6107,20.5166,1
-1106183021#2,4080014768,4080014767,36.31,1.3553,26.792,1
-1106183021#5,4080014771,4080014768,34.78,1.3553,25.6631,1
-1106183021#7,4080014773,4080014771,43.63,1.3553,32.1932,1
-1106183072,7978961180,4080014771,50.34,1.3553,37.1443,1
-1107889671#2,1489841890,392323912,111.2,3.6108,30.7969,1
-1107891951#1,418988941,10136635288,69.43,3.6108,19.2286,1
-1107891951#5,418996080,418988941,122.58,3.6108,33.9486,1
-1108254067#0,332419211,332419216,44.5,3.6108,12.3243,1
-1108254067#2,332419193,332419211,85.27,3.6107,23.6157,1
-1108254073,9442600169,418988976,1.96,3.6109,0.5428,2
-1109207334#1,363714030,363719039,164.92,3.6107,45.6748,1
-1109207371#2,387553807,387944278,77.63,3.6107,21.4997,1
-1110615406#3,338849150,2105727179,85.72,2.7073,31.6631,1
-1116480694#2,295144589,295144588,82.65,4.5143,18.3086,1
-1116480699#2,295144600,329923257,93.16,4.5142,20.6369,1
-1117505217,442760457,300153147,139.68,3.6107,38.6846,1
-1117506108#3,10220643199,1594214797,140.09,3.6107,38.7982,1
-1117506109#3,418988940,10220643198,92.9,3.6108,25.7286,1
-1126373902#2,1588087912,442755851,259.36,3.6108,71.8298,1
-1130755851,329923312,10538055453,27.71,5.4176,5.1148,1
-1132593872,499953671,295406663,86.03,3.6107,23.8262,1
-1132593873#1,287354804,13330071529,200.54,3.6108,55.5397,1
-1159086379#1,294320272,294320267,103.35,3.6108,28.6228,1
-1159086379#4,294320262,294320272,115.96,3.6108,32.1151,1
-1159086380,13329700701,296266991,30.3,3.6107,8.3917,2
-1159086381#1,294320264,282723632,115.96,4.5142,25.6877,1
-1159086381#2,294320267,294320264,79.85,4.5143,17.6883,1
-1160957649#1,376119159,418996078,118.1,3.6107,32.708,1
-1160957651#1,412689918,376119159,80.11,3.6108,22.1865,1
-1160957652#2,418996077,412689918,81.86,3.6108,22.6711,1
-1160957652#5,418996076,418996077,81.79,3.6108,22.6517,1
-1160957654#1,cluster_376119854_418996073_8190304826,418996074,84.59,3.6107,23.4274,1
-1161581671#2,418988949,418988948,189.44,3.6108,52.4655,1
-1161581671#3,411932204,418988949,93.77,3.6108,25.9695,1
-1164299611#2,1594214784,416215978,76.02,3.6107,21.0538,1
-1166011315,416237495,1667842661,47.13,3.6108,13.0526,1
-1177985060#3,329923351,329923312,110.65,3.6108,30.6446,1
-1178811836#1,457749579,457749581,38.18,3.6108,10.5738,1
-1188522284#1,340085946,12761537057,46.51,2.7073,17.1797,1
-1188522284#3,338450316,340085946,61.44,2.7072,22.6948,1
-1188522284#4,cluster_299045554_299045555_8637330184,338450316,62.41,2.7073,23.0529,1
-1189775602,292190560,3241611539,31.77,3.6107,8.7988,1
-1189775604,292190560,8163580153,48.99,4.5143,10.8523,1
-1189775605,292190560,8163580146,62.43,4.5143,13.8295,1
-1189775847#3,298509040,295406697,101.05,3.6108,27.9858,1
-1189776503#4,295699950,298584871,119.76,3.6107,33.1677,1
-1194880848,300186055,421146123,78.26,3.6107,21.6742,1
-1196192976#1,297024110,297024112,71.07,3.6108,19.6828,1
-1196929615,8971292136,416211832,98.25,3.6107,27.2105,1
-1196929617#1,416279122,444672672,171.84,3.6108,47.5911,1
-1196929643#3,4313418422,416243573,336.95,3.6108,93.3185,1
-1203315641,300190242,500375328,161.44,3.6107,44.7111,2
-1206482076#2,250197471,250197468,161.43,2.7072,59.6289,1
-1206482077#1,250197376,250197404,144.48,2.7073,53.3677,1
-1208296568#1,338450214,11195990511,22.51,3.6107,6.2342,1
-1209920417#5,340433857,10627514428,109.84,3.6107,30.4203,1
-1210604495#0,283678987,9442789570,0.2,4.5147,0.0443,2
-1210604496#1,411932239,283678987,148.21,4.5142,32.8317,2
-1214582542#3,253114354,253114349,86.76,2.7072,32.0474,1
-1214582587#1,250197371,250197407,55.0,2.7073,20.3157,1
-1214923979#0,420326608,295699979,50.79,3.6107,14.0665,1
-1214923979#2,295699025,420326608,227.34,3.6108,62.9618,1
-1215662200#1,1801260561,302857874,147.4,2.7072,54.4465,1
-1215662201#3,308232155,308232159,83.71,2.7073,30.9206,1
-1215662202#5,339271792,302857870,90.11,2.7073,33.2846,1
-1215662203#4,252828863,252828919,84.87,2.7072,31.3492,1
-1252609259#2,9442405984,21456881,101.21,4.5143,22.42,3
-1253793166#2,255942741,1592064280,341.72,3.6107,94.6397,1
-1257047395#0,363714039,363719043,125.83,3.6108,34.8486,1
-1257047395#11,299045530,443127177,66.91,3.6107,18.5308,1
-1257047395#3,335820946,363714039,109.97,3.6107,30.4563,1
-1257047395#5,331969122,335820946,108.11,3.6107,29.9412,1
-1257047395#6,331969254,331969122,80.53,3.6108,22.3028,1
-1257047395#7,443127177,331969254,64.55,3.6107,17.8772,1
-1257047423#1,280645744,9936793088,189.48,3.6108,52.4766,1
-1264991141#2,6928676082,6084895932,70.31,4.5143,15.5751,1
-1274741392#0,420326612,411929140,25.77,3.6108,7.1369,1
-1274741392#1,420326610,420326612,130.97,3.6107,36.2723,1
-1274756235#2,cluster_1575070783_4612010953_4614302185_6091318473,1575070800,204.66,3.6108,56.6806,1
-1276257988#1,443127185,299045511,71.57,3.6108,19.8212,1
-1277743747#1,7617097874,cluster_1475177974_293956350_8241462469,55.15,3.6108,15.2738,1
-1280784767#1,363719043,443127185,115.42,3.6108,31.9655,1
-1283480506#1,442399964,290577275,100.68,3.6108,27.8834,1
-1283482532#1,338450549,338450546,147.09,3.6108,40.7366,1
-1283482532#2,338450550,338450549,0.2,3.6101,0.0554,1
-1283482533#2,338450546,418988957,84.63,3.6107,23.4385,1
-1283482535#2,295699964,295699025,141.64,3.6107,39.2274,1
-1283812546#1,442399963,298825558,73.35,3.6107,20.3145,1
-1283812546#3,442398939,442399963,125.15,3.6108,34.6603,1
-1283812546#4,344967492,442398939,90.56,3.6108,25.0806,1
-1283812546#5,299276338,344967492,85.46,3.6107,23.6683,1
-1283812548#3,333850662,298825562,108.77,3.6107,30.124,1
-1284523985#1,390961829,332419680,394.55,4.5143,87.4009,2
-1284524333#2,306013084,306013087,98.19,3.6107,27.1938,1
-1284524333#3,295406720,306013084,187.66,3.6107,51.9726,1
-1284878799#5,255942735,255942725,86.65,2.7072,32.0068,1
-1288540981,408435628,295699007,69.76,3.6108,19.32,1
-1288541714#1,420326597,408435647,109.38,3.6107,30.2929,1
-1291135986#1,9442600128,252828863,2.6,4.5139,0.576,1
-1291967931#2,256993282,255942735,134.32,2.7073,49.6148,1
-1291967932#2,255942732,256993282,149.3,2.7072,55.1483,1
-1293297060,389902926,11989097530,62.82,3.6107,17.3982,1
-1293297061#1,cluster_287356562_334325617,295144461,54.69,4.5142,12.1151,1
-1294642483#2,421138233,335820951,48.57,4.5142,10.7594,1
-1294795038,4790263183,8192887980,8.8,3.6107,2.4372,1
-1294896911#1,308232164,299045563,85.63,2.7073,31.6298,1
-1294896912#2,308232165,308232164,160.45,2.7072,59.2668,1
-1294902007,309711629,1553073708,99.68,3.6107,27.6065,1
-1299155917#0,331969334,412684310,288.05,3.6107,79.7757,1
-1299155917#1,338450584,331969334,73.36,3.6107,20.3172,1
-1299155918#1,412684310,412684309,72.58,3.6107,20.1012,1
-1299164711#1,287356564,12035072774,93.54,3.6108,25.9058,1
-1299164712#1,12035072774,295406694,77.72,2.7073,28.708,1
-1299164713#2,12035072775,499953671,83.61,3.6107,23.156,1
-1299177843#5,306201562,287356560,263.96,2.7072,97.5012,1
-1299180792#1,1820676308,412689895,210.56,3.6107,58.3148,1
-1299330491,287354799,418988965,18.28,3.6107,5.0628,1
-1299348105#1,416203321,418995332,51.31,3.6107,14.2105,1
-1299348827#1,517706896,412935618,168.23,3.6108,46.5914,1
-1299350814#1,418988948,416294155,96.77,3.6107,26.8006,2
-1300157752#2,442398939,416257066,94.27,3.6108,26.108,1
-1300305316#4,2276974582,293956368,200.82,2.7073,74.1785,1
-1300310831#1,cluster_2465719590_2465719595_293459038,293459039,60.22,3.6108,16.6778,1
-1300310832#0,293459040,329923424,40.04,2.7073,14.7898,1
-1300310832#3,293459039,293459040,166.92,2.7073,61.6566,1
-1300312431#1,517706745,301490944,146.7,2.7073,54.1877,1
-1300312431#2,cluster_1721795850_517706752,517706745,10.46,2.7072,3.8637,1
-1300400868#1,252828921,12044992548,54.57,4.5143,12.0883,1
-1301206498,cluster_250197382_338849141_6389831235,250197376,73.82,4.5143,16.3526,1
-1301206499,12052070210,4616498255,28.61,4.5142,6.3378,1
-1301206500#3,250931960,12052070211,24.08,4.5143,5.3342,1
-1301392111#6,411648963,418991455,105.23,3.6108,29.1434,1
-1301392112#1,416235919,331969465,58.75,3.6108,16.2708,1
-1301392113#10,cluster_280645653_310717282,310717268,226.65,3.6108,62.7708,1
-1301392113#7,310717268,283678987,175.29,3.6107,48.5468,1
-1301392114#2,387553807,299045530,141.74,3.6107,39.2551,1
-1301392114#4,299045532,387553807,67.83,3.6108,18.7855,1
-1301392114#5,380059958,299045532,71.13,3.6108,19.6994,1
-1301392114#8,1553074296,380059958,139.87,3.6107,38.7372,1
-1301409525#1,cluster_338450314_412689899,12054185208,28.98,3.6107,8.0262,1
-1301409526#1,1999205832,cluster_306201556_339271925_339271926_340085904_#1more,105.81,3.6107,29.3043,1
-1303060994#1,cluster_15434372_4612010943_6091318476_6091318477,295406694,99.29,2.7072,36.6757,1
-130351081,13329633894,282813661,34.3,3.6108,9.4994,2
-130351083,294264112,294311865,65.95,4.5143,14.6092,1
-1304343300#5,298584885,298509040,117.44,3.6107,32.5252,1
-1305186235#1,302857870,9442675965,121.48,7.2216,16.8218,1
-1305186235#4,293302280,302857870,70.86,7.2215,9.8123,1
-1305659439#1,442755847,416191189,126.23,3.6108,34.9594,1
-1305659451,1475138181,345084898,531.89,3.6107,147.3074,1
-1307367547#1,416214406,443127190,272.39,3.6107,75.4388,1
-1308338677#1,1544266225,298513378,31.95,4.5143,7.0775,3
-1308539774#1,298826279,298826273,73.66,3.6107,20.4003,1
-1310769971#3,369887847,255942727,299.28,3.6108,82.8858,1
-1310769979#4,13319810686,412689860,501.5,4.5143,111.0926,1
-1310963344#1,416277599,442399963,77.88,3.6108,21.5689,1
-1310963344#3,416259404,416277599,81.34,3.6108,22.5271,1
-1310963345#1,442398939,416215119,77.73,3.6107,21.5274,1
-1310963450#0,416279646,299276338,52.11,3.6107,14.432,1
-1310963450#1,12134911232,416279646,92.5,3.6108,25.6178,1
-1313017952#2,416215978,418988948,219.09,3.6107,60.6772,2
-1313017953#2,416201077,416215978,84.1,3.6107,23.2917,2
-1318607642#14,256993287,256993286,305.13,2.7072,112.7086,1
-1318607642#3,256993285,cluster_256993284_4612010951_4614303589_6091318462,80.83,2.7072,29.8569,1
-1318607642#6,256993283,256993285,132.17,2.7073,48.8206,1
-1318607642#9,256993286,256993283,114.59,2.7072,42.3271,1
-132686423,1703857751,293911983,77.36,4.5142,17.1369,2
-133041330#10,309711627,293911791,213.13,3.6108,59.0265,1
-133041330#3,310717268,411648963,86.5,3.6107,23.9563,1
-133041330#7,293911791,310717268,145.88,3.6108,40.4015,1
-1332930339#2,253262193,253262192,72.21,4.5143,15.996,1
-1333152006#1,335820951,298584837,91.99,4.5142,20.3778,1
-1333384888#1,299045598,339204557,67.65,2.7073,24.9883,1
-1343335885#2,253262191,2713425617,4.06,2.7072,1.4997,1
-1343335885#9,253262190,253262191,259.02,2.7073,95.6763,1
-1348013981#2,338450516,418988956,70.55,3.6108,19.5388,1
-1348014030#3,345085235,295144863,135.58,3.6108,37.5489,1
-1348014030#4,345085226,345085235,28.01,3.6107,7.7575,1
-1348014030#6,cluster_295144875_295144877,345085226,28.25,3.6107,7.824,1
-1348014033#2,517706894,306013455,79.73,3.6108,22.0812,1
-1349462003#1,296266991,296501357,49.63,4.5142,10.9942,1
-1359965487#2,251576076,cluster_251576070_309711638,146.34,2.7073,54.0548,1
-1359965488#1,340085945,302857874,35.31,4.5143,7.8218,1
-1359965488#3,302857875,340085945,34.11,4.5143,7.556,1
-1359965493#2,280645611,1553072112,81.32,4.5142,18.0142,1
-1359965493#6,13131909139,280645611,88.71,4.5143,19.6511,1
-1360246090#2,1573617448,13301907136,155.01,3.6107,42.9302,1
-1360246092#1,287354804,1575070800,52.73,3.6107,14.6037,1
-1364075122#2,293302282,21456894,97.45,4.5143,21.5871,2
-1369079902,418996072,1544266225,142.81,4.5142,31.6354,2
-137435479#1,1507618123,1507618124,60.49,4.5143,13.3997,1
-1376769307,286311097,2220284425,37.93,3.6108,10.5046,1
-1376889049,344967583,13329574191,135.44,3.6108,37.5102,1
-1377144093#1,cluster_15434382_4674699479_4674699484_8893238440_#2more,12751376331,60.55,4.5142,13.4132,2
-1377144100#0,442760425,12751376389,1.15,4.5133,0.2548,1
-1377144100#2,12751376390,442760425,7.3,4.514,1.6172,1
-1377144102#1,335820892,12751376391,8.52,4.5141,1.8874,2
-1377144105,9584102237,12751665809,32.6,4.5143,7.2215,1
-1378242894#1,12761537057,302857875,27.63,2.7073,10.2058,2
-1378242895#1,12761537059,296018207,38.35,7.2215,5.3105,2
-1378242896#2,12761537058,302857875,86.37,7.2216,11.96,1
-1378242897#1,340433794,12761537059,83.03,7.2216,11.4975,1
-1378442994,299027480,299027477,168.21,4.5142,37.2622,1
-1378442995,299027481,299027480,21.99,4.5141,4.8714,1
-1380614380#1,12782278410,114158636,30.19,5.4179,5.5723,3
-1382744704,481695408,12802051734,25.21,5.4178,4.6532,3
-1382907817#1,12803499336,421163789,12.21,4.5145,2.7046,2
-1383914890#1,292443705,12813288166,30.46,5.4178,5.6222,2
-1383914890#4,292190605,292443705,83.27,5.4178,15.3698,2
-1383942272#1,cluster_251576066_2614057273_2614057276_2614057277_#5more,12073327064,105.43,4.5142,23.3551,2
-1384258008#1,12816306815,1837119678,29.75,4.5143,6.5902,2
-1384258009,302464763,12816306815,14.75,4.5143,3.2674,2
-1390241127#2,114197516,302857898,40.92,2.7072,15.1151,1
-1390241127#4,339204563,114197516,160.65,2.7073,59.3406,1
-1390241128#1,299045594,339204563,239.77,2.7073,88.5658,1
-1390241128#2,336984436,299045594,94.98,2.7072,35.0837,1
-1390241128#4,336984463,336984436,124.12,2.7072,45.8474,1
-1394907768,12912059504,993665189,2.77,4.5151,0.6135,3
-1396504630,1475151214,418988967,79.45,4.5143,17.5997,1
-140025117#2,418988942,418988943,70.1,3.6108,19.4142,1
-140025117#4,418988939,418988942,56.57,3.6108,15.6671,1
-140025117#6,418988940,418988939,63.71,3.6107,17.6446,1
-140025118#1,421155707,442760457,86.21,3.6107,23.876,1
-140025118#3,416215978,421155707,135.38,3.6108,37.4935,1
-140025119#3,418988932,418988940,281.65,3.6108,78.0031,1
-1413213286,cluster_300707134_300707139,481695373,12.83,5.4181,2.368,1
-1413416068,292190585,cluster_300707134_300707139,47.1,5.4178,8.6935,2
-1414013313#3,12993728887,279068744,110.86,4.5142,24.5578,1
-1414013314#0,345085231,12993728887,26.34,4.5143,5.8348,1
