from_node,to_node,walk_distance_m,walk_distance_km,walk_time_hr,feasible
416217136,2296395497,1070.1604,1.0702,0.214,0
416218655,2296395497,2439.5877,2.4396,0.4879,0
416219955,2296395497,2426.6431,2.4266,0.4853,0
416224607,2296395497,1775.9755,1.776,0.3552,0
416225216,2296395497,690.4394,0.6904,0.1381,0
416226879,2296395497,2268.8324,2.2688,0.4538,0
416232528,2296395497,2110.4445,2.1104,0.4221,0
416235300,2296395497,2298.6502,2.2987,0.4597,0
416239624,2296395497,853.7103,0.8537,0.1707,0
416239712,2296395497,1859.257,1.8593,0.3719,0
416243489,2296395497,1816.8409,1.8168,0.3634,0
416243573,2296395497,882.9889,0.883,0.1766,0
416244990,2296395497,989.8703,0.9899,0.198,0
416245143,2296395497,2118.0809,2.1181,0.4236,0
416246025,2296395497,2254.3378,2.2543,0.4509,0
416250744,2296395497,1236.6804,1.2367,0.2473,0
416256692,2296395497,1754.6793,1.7547,0.3509,0
416257424,2296395497,771.7851,0.7718,0.1544,0
416260625,2296395497,1718.2577,1.7183,0.3437,0
416264089,2296395497,1739.4112,1.7394,0.3479,0
416265977,2296395497,759.2352,0.7592,0.1518,0
416269655,2296395497,1807.7282,1.8077,0.3615,0
416279122,2296395497,657.5365,0.6575,0.1315,0
416281449,2296395497,1139.267,1.1393,0.2279,0
416286375,2296395497,1707.9651,1.708,0.3416,0
416287016,2296395497,1684.1756,1.6842,0.3368,0
416287733,2296395497,1644.8855,1.6449,0.329,0
416288983,2296395497,1726.2706,1.7263,0.3453,0
416289811,2296395497,2256.7088,2.2567,0.4513,0
416289981,2296395497,1494.0245,1.494,0.2988,0
416294155,2296395497,2004.0774,2.0041,0.4008,0
416294572,2296395497,1819.7763,1.8198,0.364,0
416294844,2296395497,729.4854,0.7295,0.1459,0
416299634,2296395497,2381.9684,2.382,0.4764,0
416300591,2296395497,2100.4042,2.1004,0.4201,0
416301252,2296395497,849.899,0.8499,0.17,0
416303252,2296395497,1021.2317,1.0212,0.2042,0
416304448,2296395497,1500.3725,1.5004,0.3001,0
416307389,2296395497,2238.1241,2.2381,0.4476,0
418988931,2296395497,2217.9528,2.218,0.4436,0
418988932,2296395497,2117.9014,2.1179,0.4236,0
418988934,2296395497,1964.7101,1.9647,0.3929,0
418988937,2296395497,1855.2506,1.8553,0.3711,0
418988939,2296395497,2101.7594,2.1018,0.4204,0
418988940,2296395497,2177.6002,2.1776,0.4355,0
418988941,2296395497,2270.1278,2.2701,0.454,0
418988942,2296395497,2033.7298,2.0337,0.4067,0
418988943,2296395497,1952.9394,1.9529,0.3906,0
418988944,2296395497,1926.3549,1.9264,0.3853,0
418988945,2296395497,1903.6016,1.9036,0.3807,0
418988946,2296395497,2023.1445,2.0231,0.4046,0
418988947,2296395497,2060.3691,2.0604,0.4121,0
418988948,2296395497,2102.2474,2.1022,0.4204,0
418996080,2296395497,2397.5561,2.3976,0.4795,0
421138189,2296395497,943.209,0.9432,0.1886,0
421146123,2296395497,1553.3105,1.5533,0.3107,0
421146126,2296395497,1599.1588,1.5992,0.3198,0
421146128,2296395497,1701.5613,1.7016,0.3403,0
421162254,2296395497,1985.2458,1.9852,0.397,0
421163789,2296395497,2231.4617,2.2315,0.4463,0
4313418422,2296395497,1087.9028,1.0879,0.2176,0
4318773469,2296395497,1554.3551,1.5544,0.3109,0
4318773471,2296395497,1286.8441,1.2868,0.2574,0
4318786921,2296395497,1761.9793,1.762,0.3524,0
442755843,2296395497,1419.6382,1.4196,0.2839,0
442755844,2296395497,1348.6807,1.3487,0.2697,0
442755846,2296395497,1594.228,1.5942,0.3188,0
442755847,2296395497,1535.105,1.5351,0.307,0
442755851,2296395497,1280.8321,1.2808,0.2562,0
442760425,2296395497,777.9964,0.778,0.1556,0
442760426,2296395497,721.8722,0.7219,0.1444,0
442760427,2296395497,578.2703,0.5783,0.1157,0
442760429,2296395497,541.3952,0.5414,0.1083,0
442760431,2296395497,435.4253,0.4354,0.0871,1
442760432,2296395497,415.1924,0.4152,0.083,1
442760433,2296395497,215.4717,0.2155,0.0431,1
442760434,2296395497,235.1979,0.2352,0.047,1
442760435,2296395497,418.0085,0.418,0.0836,1
442760437,2296395497,627.4986,0.6275,0.1255,0
442760443,2296395497,460.1713,0.4602,0.092,1
442760444,2296395497,388.9735,0.389,0.0778,1
442760456,2296395497,2276.0653,2.2761,0.4552,0
442760458,2296395497,1357.5228,1.3575,0.2715,0
444672672,2296395497,484.6928,0.4847,0.0969,1
457749579,2296395497,1042.8915,1.0429,0.2086,0
457749580,2296395497,1010.8354,1.0108,0.2022,0
457749581,2296395497,1029.7303,1.0297,0.2059,0
457749583,2296395497,823.4978,0.8235,0.1647,0
500375328,2296395497,1412.0447,1.412,0.2824,0
545312693,2296395497,1956.7004,1.9567,0.3913,0
545312773,2296395497,2420.2607,2.4203,0.4841,0
5824671919,2296395497,1741.5404,1.7415,0.3483,0
6835825381,2296395497,2004.1464,2.0041,0.4008,0
6835868985,2296395497,2017.7326,2.0177,0.4035,0
6835868987,2296395497,2047.4079,2.0474,0.4095,0
7369426378,2296395497,2357.556,2.3576,0.4715,0
7369497883,2296395497,2340.9793,2.341,0.4682,0
8905697073,2296395497,1170.7033,1.1707,0.2341,0
8971292136,2296395497,643.1471,0.6431,0.1286,0
9442789574,2296395497,2281.0842,2.2811,0.4562,0
9442789575,2296395497,2153.5845,2.1536,0.4307,0
9442789576,2296395497,2118.7055,2.1187,0.4237,0
9442789577,2296395497,2003.6576,2.0037,0.4007,0
9584102221,2296395497,1391.5727,1.3916,0.2783,0
9584102222,2296395497,1304.8463,1.3048,0.261,0
9584102223,2296395497,1270.0122,1.27,0.254,0
9584102224,2296395497,1056.7589,1.0568,0.2114,0
9584102225,2296395497,1038.5329,1.0385,0.2077,0
9584102226,2296395497,994.8122,0.9948,0.199,0
9584102227,2296395497,981.0011,0.981,0.1962,0
9584102228,2296395497,911.1239,0.9111,0.1822,0
9584102237,2296395497,879.6406,0.8796,0.1759,0
9584102239,2296395497,990.3149,0.9903,0.1981,0
9584102240,2296395497,1100.7979,1.1008,0.2202,0
9584102241,2296395497,1233.0056,1.233,0.2466,0
9584102242,2296395497,1604.7339,1.6047,0.3209,0
9584102243,2296395497,1935.2019,1.9352,0.387,0
9610108483,2296395497,2105.6176,2.1056,0.4211,0
cluster_1489279437_1489279440_1489279442_3241620189_#3more,2296395497,2337.0533,2.3371,0.4674,0
cluster_15434382_4674699479_4674699484_8893238440_#2more,2296395497,936.5317,0.9365,0.1873,0
cluster_2144935908_416273779,2296395497,1095.304,1.0953,0.2191,0
cluster_295699948_442755845_8905696885,2296395497,1579.0055,1.579,0.3158,0
cluster_298585004_4318773467_4611981573_4611982703,2296395497,1437.0277,1.437,0.2874,0
cluster_392323913_4318773456_4611981570_6835868990,2296395497,1665.5028,1.6655,0.3331,0
cluster_416197277_8905697076,2296395497,1136.2824,1.1363,0.2273,0
