project,scale,experiment,method,check_type,status,subject,detail
baseline,small,network_size,GA,objective_recalc,PASS,N30_C1_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,network_size,Heuristic,objective_recalc,PASS,N30_C1_I1.dat,expected=4.539800 actual=4.539800 delta=0
baseline,small,network_size,Optimization,objective_recalc,PASS,N30_C1_I1.dat,expected=4.539800 actual=4.539800 delta=0
baseline,small,network_size,PSO,objective_recalc,PASS,N30_C1_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,network_size,ACO,objective_recalc,PASS,N40_C1_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,network_size,GA,objective_recalc,PASS,N40_C1_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,network_size,Heuristic,objective_recalc,PASS,N40_C1_I1.dat,expected=4.921800 actual=4.921800 delta=0
baseline,small,network_size,Optimization,objective_recalc,PASS,N40_C1_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,network_size,PSO,objective_recalc,PASS,N40_C1_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,network_size,ACO,objective_recalc,PASS,N50_C1_I1.dat,expected=4.288000 actual=4.288000 delta=0
baseline,small,network_size,GA,objective_recalc,PASS,N50_C1_I1.dat,expected=4.363600 actual=4.363600 delta=0
baseline,small,network_size,Heuristic,objective_recalc,PASS,N50_C1_I1.dat,expected=5.147800 actual=5.147800 delta=0
baseline,small,network_size,Optimization,objective_recalc,PASS,N50_C1_I1.dat,expected=4.730000 actual=4.730000 delta=0
baseline,small,network_size,PSO,objective_recalc,PASS,N50_C1_I1.dat,expected=4.385200 actual=4.385200 delta=8.88178e-16
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N10_C7_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N10_C7_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N10_C7_I1.dat,expected=4.439600 actual=4.439600 delta=0
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N10_C7_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N10_C8_I1.dat,expected=10.064400 actual=10.064400 delta=0
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N10_C8_I1.dat,expected=10.064400 actual=10.064400 delta=0
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N10_C8_I1.dat,expected=7.604400 actual=7.604400 delta=0
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N10_C8_I1.dat,expected=10.064400 actual=10.064400 delta=0
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N20_C7_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N20_C7_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N20_C7_I1.dat,expected=4.479400 actual=4.479400 delta=8.88178e-16
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N20_C7_I1.dat,expected=4.429400 actual=4.429400 delta=8.88178e-16
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N20_C8_I1.dat,expected=16.296600 actual=16.296600 delta=0
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N20_C8_I1.dat,expected=16.296600 actual=16.296600 delta=0
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N20_C8_I1.dat,expected=15.726000 actual=15.726000 delta=0
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N20_C8_I1.dat,expected=16.296600 actual=16.296600 delta=0
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N30_C7_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N30_C7_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N30_C7_I1.dat,expected=4.539800 actual=4.539800 delta=0
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N30_C7_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N30_C8_I1.dat,expected=13.081200 actual=13.081200 delta=0
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N30_C8_I1.dat,expected=13.081200 actual=13.081200 delta=0
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N30_C8_I1.dat,expected=16.950000 actual=16.950000 delta=0
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N30_C8_I1.dat,expected=13.081200 actual=13.081200 delta=0
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N40_C7_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N40_C7_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N40_C7_I1.dat,expected=4.921800 actual=4.921800 delta=0
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N40_C7_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N40_C8_I1.dat,expected=17.550000 actual=17.550000 delta=0
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N40_C8_I1.dat,expected=17.550000 actual=17.550000 delta=0
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N40_C8_I1.dat,expected=17.080200 actual=17.080200 delta=0
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N40_C8_I1.dat,expected=17.550600 actual=17.550600 delta=0
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N50_C7_I1.dat,expected=4.288000 actual=4.288000 delta=0
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N50_C7_I1.dat,expected=4.363600 actual=4.363600 delta=0
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N50_C7_I1.dat,expected=5.147800 actual=5.147800 delta=0
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N50_C7_I1.dat,expected=4.385200 actual=4.385200 delta=8.88178e-16
baseline,small,objective_weight_alpha,ACO,objective_recalc,PASS,N50_C8_I1.dat,expected=12.192000 actual=12.192000 delta=0
baseline,small,objective_weight_alpha,GA,objective_recalc,PASS,N50_C8_I1.dat,expected=12.200400 actual=12.200400 delta=0
baseline,small,objective_weight_alpha,Heuristic,objective_recalc,PASS,N50_C8_I1.dat,expected=12.394200 actual=12.394200 delta=1.77636e-15
baseline,small,objective_weight_alpha,PSO,objective_recalc,PASS,N50_C8_I1.dat,expected=12.202800 actual=12.202800 delta=0
baseline,small,parking_budget,ACO,objective_recalc,PASS,N10_C9_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,parking_budget,GA,objective_recalc,PASS,N10_C9_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,parking_budget,Heuristic,objective_recalc,PASS,N10_C9_I1.dat,expected=4.439600 actual=4.439600 delta=0
baseline,small,parking_budget,PSO,objective_recalc,PASS,N10_C9_I1.dat,expected=4.419600 actual=4.419600 delta=0
baseline,small,parking_budget,ACO,objective_recalc,PASS,N20_C9_I1.dat,expected=5.806000 actual=5.806000 delta=0
baseline,small,parking_budget,GA,objective_recalc,PASS,N20_C9_I1.dat,expected=5.806000 actual=5.806000 delta=0
baseline,small,parking_budget,Heuristic,objective_recalc,PASS,N20_C9_I1.dat,expected=3.753400 actual=3.753400 delta=8.88178e-16
baseline,small,parking_budget,PSO,objective_recalc,PASS,N20_C9_I1.dat,expected=5.806000 actual=5.806000 delta=0
baseline,small,parking_budget,ACO,objective_recalc,PASS,N30_C9_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,parking_budget,GA,objective_recalc,PASS,N30_C9_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,parking_budget,Heuristic,objective_recalc,PASS,N30_C9_I1.dat,expected=3.716800 actual=3.716800 delta=0
baseline,small,parking_budget,PSO,objective_recalc,PASS,N30_C9_I1.dat,expected=4.050800 actual=4.050800 delta=8.88178e-16
baseline,small,parking_budget,ACO,objective_recalc,PASS,N40_C9_I1.dat,expected=4.119000 actual=4.119000 delta=0
baseline,small,parking_budget,GA,objective_recalc,PASS,N40_C9_I1.dat,expected=4.119000 actual=4.119000 delta=0
baseline,small,parking_budget,Heuristic,objective_recalc,PASS,N40_C9_I1.dat,expected=4.119000 actual=4.119000 delta=0
baseline,small,parking_budget,PSO,objective_recalc,PASS,N40_C9_I1.dat,expected=4.129800 actual=4.129800 delta=8.88178e-16
baseline,small,parking_budget,ACO,objective_recalc,PASS,N40_PS_parking_budget_Cmax100_I1.dat,expected=3.570000 actual=3.570000 delta=4.44089e-16
baseline,small,parking_budget,GA,objective_recalc,PASS,N40_PS_parking_budget_Cmax100_I1.dat,expected=3.570000 actual=3.570000 delta=4.44089e-16
baseline,small,parking_budget,Heuristic,objective_recalc,CHECK,N40_PS_parking_budget_Cmax100_I1.dat,missing objective components
baseline,small,parking_budget,Optimization,objective_recalc,CHECK,N40_PS_parking_budget_Cmax100_I1.dat,missing objective components
baseline,small,parking_budget,PSO,objective_recalc,PASS,N40_PS_parking_budget_Cmax100_I1.dat,expected=3.580800 actual=3.580800 delta=0
baseline,small,parking_budget,ACO,objective_recalc,PASS,N40_PS_parking_budget_Cmax150_I1.dat,expected=3.843000 actual=3.843000 delta=0
baseline,small,parking_budget,GA,objective_recalc,PASS,N40_PS_parking_budget_Cmax150_I1.dat,expected=3.843000 actual=3.843000 delta=0
baseline,small,parking_budget,Heuristic,objective_recalc,CHECK,N40_PS_parking_budget_Cmax150_I1.dat,missing objective components
baseline,small,parking_budget,Optimization,objective_recalc,CHECK,N40_PS_parking_budget_Cmax150_I1.dat,missing objective components
baseline,small,parking_budget,PSO,objective_recalc,PASS,N40_PS_parking_budget_Cmax150_I1.dat,expected=3.853800 actual=3.853800 delta=4.44089e-16
baseline,small,parking_budget,ACO,objective_recalc,PASS,N40_PS_parking_budget_Cmax205_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,parking_budget,GA,objective_recalc,PASS,N40_PS_parking_budget_Cmax205_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,parking_budget,Heuristic,objective_recalc,PASS,N40_PS_parking_budget_Cmax205_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,parking_budget,Optimization,objective_recalc,PASS,N40_PS_parking_budget_Cmax205_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,parking_budget,PSO,objective_recalc,PASS,N40_PS_parking_budget_Cmax205_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,parking_budget,ACO,objective_recalc,PASS,N40_PS_parking_budget_Cmax250_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,parking_budget,GA,objective_recalc,PASS,N40_PS_parking_budget_Cmax250_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,parking_budget,Heuristic,objective_recalc,PASS,N40_PS_parking_budget_Cmax250_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,parking_budget,Optimization,objective_recalc,PASS,N40_PS_parking_budget_Cmax250_I1.dat,expected=4.670000 actual=4.670000 delta=0
baseline,small,parking_budget,PSO,objective_recalc,PASS,N40_PS_parking_budget_Cmax250_I1.dat,expected=4.675400 actual=4.675400 delta=0
baseline,small,parking_budget,ACO,objective_recalc,PASS,N50_C9_I1.dat,expected=4.288000 actual=4.288000 delta=0
baseline,small,parking_budget,GA,objective_recalc,PASS,N50_C9_I1.dat,expected=4.363600 actual=4.363600 delta=0
baseline,small,parking_budget,Heuristic,objective_recalc,PASS,N50_C9_I1.dat,expected=5.147800 actual=5.147800 delta=0
baseline,small,parking_budget,PSO,objective_recalc,PASS,N50_C9_I1.dat,expected=4.385200 actual=4.385200 delta=8.88178e-16
baseline,small,parking_cost_range,ACO,objective_recalc,PASS,N10_C10_I1.dat,expected=4.881600 actual=4.881600 delta=8.88178e-16
baseline,small,parking_cost_range,GA,objective_recalc,PASS,N10_C10_I1.dat,expected=4.881600 actual=4.881600 delta=8.88178e-16
baseline,small,parking_cost_range,Heuristic,objective_recalc,PASS,N10_C10_I1.dat,expected=5.139600 actual=5.139600 delta=0
baseline,small,parking_cost_range,PSO,objective_recalc,PASS,N10_C10_I1.dat,expected=4.881600 actual=4.881600 delta=8.88178e-16
baseline,small,parking_cost_range,ACO,objective_recalc,PASS,N20_C10_I1.dat,expected=4.667400 actual=4.667400 delta=8.88178e-16
baseline,small,parking_cost_range,GA,objective_recalc,PASS,N20_C10_I1.dat,expected=4.667400 actual=4.667400 delta=8.88178e-16
baseline,small,parking_cost_range,Heuristic,objective_recalc,PASS,N20_C10_I1.dat,expected=6.459000 actual=6.459000 delta=0
baseline,small,parking_cost_range,PSO,objective_recalc,PASS,N20_C10_I1.dat,expected=4.667400 actual=4.667400 delta=8.88178e-16
baseline,small,parking_cost_range,ACO,objective_recalc,PASS,N30_C10_I1.dat,expected=4.656800 actual=4.656800 delta=8.88178e-16
baseline,small,parking_cost_range,GA,objective_recalc,PASS,N30_C10_I1.dat,expected=4.656800 actual=4.656800 delta=8.88178e-16
baseline,small,parking_cost_range,Heuristic,objective_recalc,PASS,N30_C10_I1.dat,expected=5.584000 actual=5.584000 delta=0
baseline,small,parking_cost_range,PSO,objective_recalc,PASS,N30_C10_I1.dat,expected=4.748600 actual=4.748600 delta=0
baseline,small,parking_cost_range,ACO,objective_recalc,PASS,N40_C10_I1.dat,expected=4.544000 actual=4.544000 delta=0
baseline,small,parking_cost_range,GA,objective_recalc,PASS,N40_C10_I1.dat,expected=4.544000 actual=4.544000 delta=0
baseline,small,parking_cost_range,Heuristic,objective_recalc,PASS,N40_C10_I1.dat,expected=4.278000 actual=4.278000 delta=8.88178e-16
baseline,small,parking_cost_range,PSO,objective_recalc,PASS,N40_C10_I1.dat,expected=4.549400 actual=4.549400 delta=8.88178e-16
baseline,small,parking_cost_range,ACO,objective_recalc,PASS,N40_PS_parking_cost_100_225_I1.dat,expected=3.849000 actual=3.849000 delta=0
baseline,small,parking_cost_range,GA,objective_recalc,PASS,N40_PS_parking_cost_100_225_I1.dat,expected=3.849000 actual=3.849000 delta=0
baseline,small,parking_cost_range,Heuristic,objective_recalc,PASS,N40_PS_parking_cost_100_225_I1.dat,expected=3.849000 actual=3.849000 delta=0
baseline,small,parking_cost_range,Optimization,objective_recalc,PASS,N40_PS_parking_cost_100_225_I1.dat,expected=3.849000 actual=3.849000 delta=0
baseline,small,parking_cost_range,PSO,objective_recalc,PASS,N40_PS_parking_cost_100_225_I1.dat,expected=3.854400 actual=3.854400 delta=0
baseline,small,parking_cost_range,ACO,objective_recalc,PASS,N40_PS_parking_cost_125_250_I1.dat,expected=4.344000 actual=4.344000 delta=0
baseline,small,parking_cost_range,GA,objective_recalc,PASS,N40_PS_parking_cost_125_250_I1.dat,expected=4.344000 actual=4.344000 delta=0
baseline,small,parking_cost_range,Heuristic,objective_recalc,PASS,N40_PS_parking_cost_125_250_I1.dat,expected=4.344000 actual=4.344000 delta=0
baseline,small,parking_cost_range,Optimization,objective_recalc,PASS,N40_PS_parking_cost_125_250_I1.dat,expected=4.344000 actual=4.344000 delta=0
baseline,small,parking_cost_range,PSO,objective_recalc,PASS,N40_PS_parking_cost_125_250_I1.dat,expected=4.349400 actual=4.349400 delta=0
baseline,small,parking_cost_range,ACO,objective_recalc,PASS,N40_PS_parking_cost_150_300_I1.dat,expected=4.544000 actual=4.544000 delta=0
baseline,small,parking_cost_range,GA,objective_recalc,PASS,N40_PS_parking_cost_150_300_I1.dat,expected=4.544000 actual=4.544000 delta=0
