parking_node_id,x,y,parking_cost,walk_distance_m,walk_distance_km,walk_time_hr,feasible,hop_from_source,source_node,destination_node
293911678,6414.76,3758.45,19.73,2831.5908,2.8316,0.5663,0,50,7935712602,2296395497
297024084,6441.94,3771.28,10.18,2828.5337,2.8285,0.5657,0,50,7935712602,2296395497
8189608959,6941.79,4005.52,11.79,2827.6162,2.8276,0.5655,0,48,7935712602,2296395497
8189608958,6861.57,3968.87,11.82,2821.3726,2.8214,0.5643,0,48,7935712602,2296395497
1623257629,6549.26,3821.95,15.8,2819.5716,2.8196,0.5639,0,49,7935712602,2296395497
2753084568,6759.52,3920.86,9.96,2816.1329,2.8161,0.5632,0,49,7935712602,2296395497
418996081,6632.45,3861.22,11.46,2816.0418,2.816,0.5632,0,48,7935712602,2296395497
387552359,6450.28,3751.86,17.38,2807.5838,2.8076,0.5615,0,54,7935712602,2296395497
297024074,7171.23,4046.53,10.9,2798.7311,2.7987,0.5597,0,50,7935712602,2296395497
376119159,7732.93,4129.27,19.83,2791.9272,2.7919,0.5584,0,48,7935712602,2296395497
9442600170,6094.28,3476.16,18.46,2789.581,2.7896,0.5579,0,48,7935712602,2296395497
310717154,8027.04,4127.46,13.37,2789.0167,2.789,0.5578,0,51,7935712602,2296395497
9442789573,6308.65,3634.35,9.4,2785.3048,2.7853,0.5571,0,48,7935712602,2296395497
9907483911,8005.01,4116.89,8.22,2777.4636,2.7775,0.5555,0,50,7935712602,2296395497
8189608957,6652.88,3822.19,11.2,2771.9963,2.772,0.5544,0,49,7935712602,2296395497
422348163,6170.78,3508.73,8.18,2766.3864,2.7664,0.5533,0,50,7935712602,2296395497
12697044460,7981.28,4105.56,16.99,2765.2621,2.7653,0.5531,0,49,7935712602,2296395497
293911986,6327.97,3621.69,11.13,2763.9261,2.7639,0.5528,0,49,7935712602,2296395497
412689918,7648.38,4087.1,13.76,2755.9617,2.756,0.5512,0,49,7935712602,2296395497
429385249,6505.17,3719.21,14.93,2751.568,2.7516,0.5503,0,53,7935712602,2296395497
299045451,7937.62,4086.16,8.89,2744.7753,2.7448,0.549,0,48,7935712602,2296395497
418988976,6021.64,3344.83,10.24,2739.4562,2.7395,0.5479,0,48,7935712602,2296395497
376116109,7355.07,4025.12,16.97,2736.2185,2.7362,0.5472,0,52,7935712602,2296395497
421138233,6179.63,3473.0,8.0,2732.94,2.7329,0.5466,0,48,7935712602,2296395497
1946220905,6287.56,3552.22,10.74,2730.4317,2.7304,0.5461,0,49,7935712602,2296395497
418996077,7561.56,4045.28,17.36,2723.4219,2.7234,0.5447,0,50,7935712602,2296395497
295704951,6714.65,3775.55,15.64,2702.9046,2.7029,0.5406,0,50,7935712602,2296395497
376045510,7194.48,3952.23,12.01,2701.6238,2.7016,0.5403,0,51,7935712602,2296395497
297024112,6555.16,3690.35,17.03,2701.6168,2.7016,0.5403,0,52,7935712602,2296395497
442432391,7004.11,3890.47,18.35,2698.4011,2.6984,0.5397,0,48,7935712602,2296395497
4250580079,7977.36,4038.54,15.17,2698.1501,2.6982,0.5396,0,49,7935712602,2296395497
13329700764,7870.17,4038.8,18.99,2697.0862,2.6971,0.5394,0,49,7935712602,2296395497
297024110,6632.63,3726.22,16.71,2695.8519,2.6959,0.5392,0,51,7935712602,2296395497
418996076,7474.65,4003.83,9.83,2694.3175,2.6943,0.5389,0,51,7935712602,2296395497
335820951,6235.23,3451.34,13.62,2681.409,2.6814,0.5363,0,48,7935712602,2296395497
297024118,6413.47,3565.4,16.98,2669.4403,2.6694,0.5339,0,50,7935712602,2296395497
418996075,7387.0,3959.41,18.42,2665.5949,2.6656,0.5331,0,52,7935712602,2296395497
295704998,7053.05,3862.35,19.91,2656.0236,2.656,0.5312,0,49,7935712602,2296395497
297024109,6602.34,3662.79,15.77,2654.4808,2.6545,0.5309,0,53,7935712602,2296395497
12662559492,7798.4,3988.0,19.84,2647.8105,2.6478,0.5296,0,50,7935712602,2296395497
418996074,7301.13,3915.12,8.28,2639.948,2.6399,0.528,0,53,7935712602,2296395497
13329700713,7769.08,3967.18,9.43,2628.1939,2.6282,0.5256,0,51,7935712602,2296395497
442760454,6940.44,3782.89,11.45,2619.4443,2.6194,0.5239,0,50,7935712602,2296395497
cluster_376119854_418996073_8190304826,7210.94,3864.03,14.36,2612.1693,2.6122,0.5224,0,52,7935712602,2296395497
412859588,6559.55,3589.17,18.5,2611.8981,2.6119,0.5224,0,52,7935712602,2296395497
376114940,7745.98,3949.69,11.15,2611.8985,2.6119,0.5224,0,50,7935712602,2296395497
300153147,8048.64,3941.87,19.41,2604.8877,2.6049,0.521,0,50,7935712602,2296395497
1588088195,7225.45,3853.44,11.87,2598.1937,2.5982,0.5196,0,55,7935712602,2296395497
298584837,6334.8,3412.96,11.66,2590.3266,2.5903,0.5181,0,49,7935712602,2296395497
416200980,7700.83,3916.44,11.42,2581.6232,2.5816,0.5163,0,51,7935712602,2296395497
295704979,6986.51,3750.46,16.05,2572.7026,2.5727,0.5145,0,50,7935712602,2296395497
298584872,6511.08,3507.95,11.42,2568.0558,2.5681,0.5136,0,51,7935712602,2296395497
376115090,7669.85,3895.89,18.97,2563.609,2.5636,0.5127,0,51,7935712602,2296395497
295699952,6373.1,3406.92,19.01,2562.6379,2.5626,0.5125,0,50,7935712602,2296395497
298584836,6281.57,3300.72,15.27,2534.9362,2.5349,0.507,0,48,7935712602,2296395497
416257325,7620.77,3860.34,8.22,2532.9472,2.5329,0.5066,0,52,7935712602,2296395497
376115373,7593.06,3840.0,14.76,2515.8486,2.5158,0.5032,0,52,7935712602,2296395497
295704964,6928.51,3650.47,10.34,2501.0662,2.5011,0.5002,0,51,7935712602,2296395497
295699950,6442.75,3380.71,17.11,2500.6059,2.5006,0.5001,0,51,7935712602,2296395497
1703857751,6229.38,3193.83,18.58,2487.8114,2.4878,0.4976,0,48,7935712602,2296395497
416218154,7542.28,3801.49,19.84,2484.2195,2.4842,0.4968,0,53,7935712602,2296395497
376115785,7516.82,3782.5,16.74,2469.1425,2.4691,0.4938,0,53,7935712602,2296395497
1588088186,7308.1,3740.34,20.48,2468.2329,2.4682,0.4936,0,54,7935712602,2296395497
421138218,6352.65,3270.43,12.01,2466.6741,2.4667,0.4933,0,49,7935712602,2296395497
416204338,7086.98,3673.84,9.87,2466.5809,2.4666,0.4933,0,51,7935712602,2296395497
442760457,8058.96,3800.86,10.28,2464.8369,2.4648,0.493,0,51,7935712602,2296395497
1911930957,6974.78,3616.83,17.27,2452.3985,2.4524,0.4905,0,52,7935712602,2296395497
416218655,7465.66,3744.11,11.44,2439.5877,2.4396,0.4879,0,54,7935712602,2296395497
298584871,6382.92,3257.14,13.24,2437.4602,2.4375,0.4875,0,50,7935712602,2296395497
416297051,6331.59,3213.09,19.6,2435.5304,2.4355,0.4871,0,50,7935712602,2296395497
418996079,7217.93,3682.08,16.96,2435.0032,2.435,0.487,0,53,7935712602,2296395497
416219955,7440.96,3726.44,11.45,2426.6431,2.4266,0.4853,0,54,7935712602,2296395497
